time,open,high,low,close,volume
2009-04-05,923.8,932.6,890.3,892.4,124407
2009-04-12,892.3,893.6,865.1,881.15,120347
2009-04-19,883.95,899.73,864.78,868.25,225884
2009-04-26,868.51,913.73,864.54,912.5,173890
2009-05-03,915.6,918.1,880.03,886.05,139150
2009-05-10,886.7,925.28,885.1,915.9,143694
2009-05-17,915.65,933.98,908.36,931.15,93694
2009-05-24,930.97,960.92,915.82,956.95,105771
2009-05-31,956.88,980.02,941.11,978.57,109287
2009-06-07,976.74,989.63,952.4,954.79,174866
2009-06-14,954.39,965.02,936.23,938.8,126424
2009-06-21,935.4,941.65,925.23,933.48,90735
2009-06-28,933.65,948.15,912.88,939.1,148417
2009-07-05,936.28,945.68,923.54,931.5,108197
2009-07-12,929.75,931.33,904.78,912.58,88011
2009-07-19,913.77,941.78,907.73,936.95,89739
2009-07-26,938.33,957.15,937.95,950.92,125688
2009-08-02,949.62,958.68,925.48,953.5,149432
2009-08-09,952.97,971.46,951.0,954.45,193694
2009-08-16,953.95,960.36,939.88,948.05,180218
2009-08-23,947.59,957.65,930.08,953.24,146791
2009-08-30,953.28,961.39,939.66,954.42,175663
2009-09-06,955.92,997.16,944.43,993.37,180835
2009-09-13,994.25,1011.57,982.57,1004.71,174407
2009-09-20,1006.86,1023.87,992.12,1007.13,180240
2009-09-27,1003.16,1019.67,985.0,990.6,228837
2009-10-04,994.37,1009.57,984.99,1002.37,173339
2009-10-11,1003.03,1061.35,1000.85,1048.8,189256
2009-10-18,1052.29,1070.58,1043.16,1053.15,269576
2009-10-25,1054.72,1067.75,1047.66,1055.07,296966
2009-11-01,1052.59,1059.54,1026.4,1044.96,273943
2009-11-08,1044.12,1100.94,1042.84,1094.72,225471
2009-11-15,1096.22,1122.7,1095.49,1118.29,260517
2009-11-22,1124.11,1152.78,1122.98,1150.2,263207
2009-11-29,1159.16,1194.95,1137.58,1177.28,179433
2009-12-06,1169.2,1226.37,1147.32,1160.82,181515
2009-12-13,1156.87,1168.47,1109.36,1115.05,206175
2009-12-20,1113.48,1141.51,1094.71,1112.98,178753
2009-12-27,1114.13,1117.9,1074.48,1105.15,119912
2010-01-03,1108.24,1113.4,1085.99,1098.3,176796
2010-01-10,1094.61,1140.65,1093.08,1138.25,109376
2010-01-17,1153.6,1161.63,1118.82,1130.9,363925
2010-01-24,1132.54,1141.3,1082.15,1092.76,372489
2010-01-31,1094.72,1103.89,1074.01,1080.67,403541
2010-02-07,1082.66,1124.8,1044.46,1065.95,420746
2010-02-14,1065.28,1097.64,1061.65,1093.05,403712
2010-02-21,1096.54,1126.83,1091.45,1118.99,362017
2010-02-28,1124.85,1130.75,1088.1,1117.3,243601
2010-03-07,1117.83,1144.62,1112.05,1134.55,233276
2010-03-14,1134.85,1137.5,1098.45,1101.49,199575
2010-03-21,1104.22,1132.97,1101.24,1106.64,246798
2010-03-28,1105.62,1109.13,1085.05,1107.1,309414
2010-04-04,1110.18,1127.69,1101.56,1122.18,268338
2010-04-11,1125.39,1164.37,1122.45,1161.54,275425
2010-04-18,1167.03,1169.44,1129.89,1137.11,288402
2010-04-25,1134.76,1157.56,1123.78,1157.37,223526
2010-05-02,1157.77,1181.41,1146.35,1178.72,278071
2010-05-09,1177.78,1213.13,1157.62,1207.87,343607
2010-05-16,1200.43,1249.12,1184.06,1232.46,303711
2010-05-23,1232.97,1242.06,1166.34,1176.81,383971
2010-05-30,1180.82,1218.26,1179.35,1214.05,305511
2010-06-06,1214.05,1228.62,1196.8,1219.58,291309
2010-06-13,1219.81,1251.69,1210.52,1226.25,343560
2010-06-20,1230.32,1262.08,1216.54,1256.58,137634
2010-06-27,1259.55,1265.02,1224.56,1255.45,131780
2010-07-04,1254.3,1262.5,1196.35,1211.33,162325
2010-07-11,1210.93,1214.28,1184.78,1211.54,127298
2010-07-18,1211.08,1217.75,1186.0,1192.68,131180
2010-07-25,1192.55,1203.75,1175.66,1188.82,144146
2010-08-01,1189.2,1194.53,1157.0,1180.55,118449
2010-08-08,1181.13,1210.74,1174.53,1204.98,118758
2010-08-15,1205.3,1217.38,1190.58,1215.2,119875
2010-08-22,1214.7,1237.25,1214.05,1227.58,107115
2010-08-29,1227.55,1243.94,1210.71,1237.8,123420
2010-09-05,1237.2,1254.48,1231.79,1246.34,116823
2010-09-12,1248.15,1262.05,1236.5,1245.75,96393
2010-09-19,1244.93,1282.58,1241.01,1273.93,125712
2010-09-26,1276.9,1299.66,1270.93,1296.18,236898
2010-10-03,1295.61,1320.44,1282.75,1318.72,277645
2010-10-10,1319.82,1349.6,1312.27,1347.21,273179
2010-10-17,1353.13,1387.03,1340.13,1368.17,377192
2010-10-24,1367.83,1374.76,1315.14,1328.18,391892
2010-10-31,1331.66,1359.3,1318.8,1359.0,187780
2010-11-07,1361.2,1397.95,1325.55,1393.25,150830
2010-11-14,1397.7,1424.3,1382.6,1412.0,120325
2010-11-21,1373.08,1376.6,1329.5,1353.15,204624
2010-11-28,1358.3,1382.18,1348.35,1363.1,147281
2010-12-05,1358.15,1415.45,1353.2,1413.4,151477
2010-12-12,1410.17,1430.88,1371.38,1385.7,176724
2010-12-19,1403.5,1407.8,1361.19,1374.85,112108
2010-12-26,1382.61,1391.84,1372.18,1383.0,245074
2011-01-02,1376.82,1418.83,1376.32,1418.19,180823
2011-01-09,1415.71,1423.77,1352.79,1368.78,226389
2011-01-16,1369.34,1393.0,1354.95,1361.78,274637
2011-01-23,1363.49,1378.77,1337.61,1342.35,411097
2011-01-30,1345.82,1353.08,1307.88,1336.31,400307
2011-02-06,1344.47,1357.87,1322.96,1348.65,453110
2011-02-13,1346.52,1368.0,1344.99,1356.63,398661
2011-02-20,1354.1,1391.65,1354.1,1389.79,207263
2011-02-27,1391.4,1417.94,1390.63,1410.15,401528
2011-03-06,1413.85,1440.01,1404.67,1430.64,440554
2011-03-13,1434.65,1444.48,1402.87,1417.2,448065
2011-03-20,1425.68,1430.23,1380.88,1418.16,438983
2011-03-27,1424.28,1447.4,1419.32,1429.32,75998
2011-04-03,1424.9,1439.3,1410.08,1428.35,91971
2011-04-10,1428.45,1474.83,1427.6,1474.53,81894
2011-04-17,1475.2,1487.85,1445.63,1486.35,101667
2011-04-24,1485.3,1507.95,1477.3,1504.95,20646
2011-05-01,1516.23,1569.0,1493.15,1563.3,61998
2011-05-08,1547.25,1575.13,1462.35,1495.0,162783
2011-05-15,1494.25,1526.37,1478.08,1494.6,117209
2011-05-22,1490.5,1515.65,1471.68,1512.85,111927
2011-05-29,1512.15,1538.15,1503.8,1535.96,122950
2011-06-05,1535.95,1549.88,1519.55,1542.15,71122
2011-06-12,1541.9,1553.43,1525.9,1531.12,91348
2011-06-19,1528.83,1541.9,1510.83,1539.38,127141
2011-06-26,1539.7,1557.86,1498.37,1502.29,176038
2011-07-03,1498.7,1513.97,1478.05,1487.25,353801
2011-07-10,1494.85,1545.2,1492.85,1543.75,267882
2011-07-17,1542.46,1594.07,1540.43,1592.79,374562
2011-07-24,1593.55,1609.75,1495.75,1600.85,303474
2011-07-31,1608.45,1632.35,1603.0,1626.27,349513
2011-08-07,1610.2,1681.8,1607.88,1665.12,292013
2011-08-14,1684.1,1813.77,1682.3,1742.98,328224
2011-08-21,1744.97,1876.66,1727.67,1851.51,252943
2011-08-28,1865.66,1911.63,1702.55,1825.27,403830
2011-09-04,1832.26,1884.33,1775.74,1881.92,303766
2011-09-11,1880.85,1920.61,1792.41,1857.02,306425
2011-09-18,1857.46,1861.28,1762.44,1808.8,314725
2011-09-25,1818.58,1827.68,1628.82,1653.92,326128
2011-10-02,1647.36,1677.0,1531.94,1623.68,383371
2011-10-09,1623.68,1678.35,1595.65,1636.48,301312
2011-10-16,1638.97,1692.03,1638.83,1680.62,253255
2011-10-23,1682.44,1694.79,1603.52,1641.77,282438
2011-10-30,1638.8,1752.22,1635.28,1743.07,262892
2011-11-06,1741.49,1767.41,1680.97,1754.18,257842
2011-11-13,1753.0,1802.79,1735.47,1787.98,252729
2011-11-20,1787.96,1796.01,1710.32,1723.6,267684
2011-11-27,1722.09,1726.23,1666.33,1682.33,254862
2011-12-04,1687.71,1763.03,1686.84,1745.82,262126
2011-12-11,1750.16,1755.87,1701.95,1710.48,279045
2011-12-18,1713.53,1714.48,1560.08,1598.64,327847
2011-12-25,1601.92,1641.61,1583.25,1606.56,237546
2012-01-01,1605.06,1605.43,1522.64,1563.95,176762
2012-01-08,1567.37,1631.14,1566.07,1616.55,237405
2012-01-15,1614.34,1661.98,1605.03,1638.21,291579
2012-01-22,1635.47,1670.05,1631.45,1666.81,272808
2012-01-29,1666.22,1739.73,1648.99,1738.65,262697
2012-02-05,1735.59,1763.16,1716.16,1725.37,301810
2012-02-12,1728.59,1752.59,1704.64,1721.39,277249
2012-02-19,1727.96,1737.27,1705.23,1722.87,263641
2012-02-26,1727.67,1787.26,1727.67,1772.05,229816
2012-03-04,1773.98,1790.56,1685.96,1711.38,214864
2012-03-11,1711.98,1716.7,1662.86,1713.69,271874
2012-03-18,1713.4,1713.55,1634.44,1659.31,271415
2012-03-25,1660.42,1669.72,1628.08,1661.26,274295
2012-04-01,1664.21,1696.95,1645.19,1666.95,461919
2012-04-08,1671.34,1683.46,1612.39,1630.65,581359
